date,symbol,forward_return,composite_zscore,Chaikin_Oscillator_aligned_z,ZScore_MA20_aligned_z,Mom_12M_Refined_aligned_z
2013-01-02,AA,0.00889925953629267,-0.5437842074533995,0.23884228878735228,-1.2385290271492748,-0.6316658839982761
2013-01-02,AXP,0.00425554536676076,-0.2305176076726674,0.3065977978400736,-1.3178355210716188,0.319684900213543
2013-01-02,BA,0.005190113374473837,-0.2926697734938019,0.27726356939196645,-0.703894150978843,-0.4513787388945291
2013-01-02,BAC,-0.005818771348656715,-0.1936532980210887,-2.0,-0.5809598940632663,2.0
2013-01-02,CAT,0.009625399141667934,-0.575083138116646,0.3708777155240363,-1.342088626237224,-0.7540385036367503
2013-01-02,CSCO,0.005408030302031186,-0.25547120652970373,-0.3198349611254113,-0.16906668580221249,-0.27751197266148736
2013-01-02,CVX,-0.0042573720507905755,-0.07401762635177135,0.2991121643447598,-0.024072995598686565,-0.49709204780138727
2013-01-02,DD,0.0030264102528223535,-0.053794982081601106,0.1377176512008231,-0.09962988677681565,-0.19947271066881075
2013-01-02,DIS,0.0021524463916118286,0.06770393815863003,0.27618618646609683,-0.9661923660815767,0.8931179940913699
2013-01-02,GE,-0.011246846532199761,0.4953123423239138,0.39297711279464914,0.7308557680045988,0.3621041461724934
2013-01-02,HD,-0.002835495219460582,0.95925426784125,0.24936283080746943,0.6283999727162803,2.0
2013-01-02,HPQ,0.007989070886643468,-0.9762249317153691,-0.17935766484121726,-0.7493171303048899,-2.0
2013-01-02,IBM,-0.005499942650666001,-0.18204455943563932,0.32761199486022136,-0.4761429927540681,-0.3976026804130713
2013-01-02,INTC,-0.002806451526382814,-0.8262486055182258,-0.3133018230175125,-0.7807070352015646,-1.3847369583356
2013-01-02,JNJ,-0.0014119905914009578,0.2602457320816953,0.4119187415402112,0.4908712580104806,-0.12205280330560582
2013-01-02,JPM,-0.0020148305207234873,0.025475800584935593,-0.27325654183264847,-0.307038017000526,0.6567219605879813
2013-01-02,KO,0.0,0.24859901580372226,0.2306780837126565,0.5736045002450567,-0.05848553654654646
2013-01-02,MCD,0.005658729279560015,-0.18157779011900946,0.25082077708963585,0.28245187251708,-1.0780060199637442
2013-01-02,MMM,-0.00116055078495636,-0.04028023544405602,0.3270271697538247,-0.5105483724512838,0.06268049636529108
2013-01-02,MRK,0.023947891700482726,1.077608537393581,0.8270395760879722,2.0,0.40578603609277136
2013-01-02,MSFT,-0.013395912855531433,-0.42129201572611197,-0.7537560632776685,-0.17692178970899783,-0.33319819419166946
2013-01-02,PFE,-0.0023160602841432176,-0.1356637940673184,0.056578618023915936,-0.8039697472018345,0.34039974697596326
2013-01-02,PG,-0.006340863362129134,0.5136386936246381,0.3290150992635419,1.425172997616915,-0.21327201600654275
2013-01-02,T,0.0005711563910846262,-0.4165514560227726,-0.23477752704725,-1.426693295299525,0.4118164542784572
2013-01-02,TRV,0.007685494111107305,0.7841651634771044,0.4605932707935124,1.479644990709212,0.41225722892858885
2013-01-02,UNH,-0.04675465005779578,0.4300818580531025,0.3902221399244131,1.1308368049870665,-0.23081337075217218
2013-01-02,UTX,0.00369012564036586,-0.2189515346852983,0.22592335898335877,-0.8350757853539055,-0.04770217768534829
2013-01-02,VZ,-0.00474359608190611,0.35081630999251906,0.21269959048379694,0.6914052855914188,0.14834405390234154
2013-01-02,WMT,-0.006354716563468088,0.8332594573719564,0.3499691647605532,1.689727451286417,0.46008175606889906
2013-01-02,XOM,-0.0018037275031574929,0.2340677304232153,0.259135763812967,0.7397923634940116,-0.29672493603733263
2013-01-03,AA,0.020947986214255643,-0.5484232795461802,0.2378465354340164,-1.2357144711204617,-0.6474019029520953
2013-01-03,AXP,0.010338959081156673,-0.14490518808434816,0.3492030235696301,-1.168473611709015,0.38455502388634044
2013-01-03,BA,0.0028401465354372935,-0.3185360033589831,0.32076522226994,-0.8566925554351418,-0.41968067691174754
2013-01-03,BAC,0.01254162760595623,-0.16555510144560528,-2.0,-0.4966653043368159,2.0
2013-01-03,CAT,0.005508554419291212,-0.5478220958480082,0.4033770581098788,-1.2444983536422638,-0.8023449920116398
2013-01-03,CSCO,0.0014667745320324777,-0.4772185254324694,-0.7376014194761638,-0.49803537914787677,-0.19601877767336742
2013-01-03,CVX,0.005277023919126211,-0.046578522568302215,0.36659131242093396,-0.007973211483224624,-0.498353668642616
2013-01-03,DD,0.01447875282593225,-0.13518112349412578,0.24606685924193886,-0.3001595476255403,-0.3514506820987759
2013-01-03,DIS,0.0191370898197587,0.10260050317954224,0.26070321514990535,-0.8595862050114262,0.9066844994001476
2013-01-03,GE,0.004739592802898596,0.6281722505554918,0.5420091312409524,0.9989317535332516,0.3435758668922713
2013-01-03,HD,-0.0018959510949279057,0.885109245859323,0.3175851146336441,0.33774262294432494,2.0
2013-01-03,HPQ,0.0,-0.8032788782181758,0.46555420736444797,-0.8753908420189754,-2.0
2013-01-03,IBM,-0.006554668075780201,-0.02177216194977895,0.37753292302523345,-0.0908400368518479,-0.3520093720227224
2013-01-03,INTC,-0.00750478701564683,-0.821359844807958,-0.5500964675355103,-0.5514644387641433,-1.3625186281242205
