date,symbol,forward_return,composite_zscore,Dollar_Volume_aligned_z,Mom_12M_Refined_aligned_z,MFI_14_aligned_z
2011-01-03,AA,0.045569813300954776,-0.09162914895711793,0.0037147312160241857,-1.300739252401135,1.022137074313757
2011-01-03,AXP,0.012672575632916905,-0.3965815239611585,0.4721099545181676,0.3381454735983569,-2.0
2011-01-03,BA,0.008132749091020575,0.625408585460777,0.23667421073493072,0.9313122522343454,0.7082392934130549
2011-01-03,BAC,0.0035234667980108547,-1.1888807630633502,-2.0,-1.9669627928585516,0.4003205036685015
2011-01-03,CAT,-0.004673021847330205,0.8266920074221463,0.36806149650733894,2.0,0.11201452575910022
2011-01-03,CSCO,0.0014641448323824413,-1.0214841417077078,-0.18385999439036765,-1.7700606550781086,-1.1105317756546476
2011-01-03,CVX,-0.003697720169644647,0.3178847129482063,0.29470829332237974,0.2739240709581132,0.38502177456412606
2011-01-03,DD,-0.006860766058223389,0.06652034699208646,0.5922691505447776,0.5783365754999923,-0.9710446850685104
2011-01-03,DIS,0.030936185953370998,0.03733068118634667,0.5011751617774164,0.6181836206710379,-1.0073667388894143
2011-01-03,GE,0.01805285408298607,0.38009594305095956,-0.186172148485479,0.22831646094518887,1.0981435166931688
2011-01-03,HD,-0.018125533072102074,0.5986635381283978,0.5927242865273067,0.8373121818433725,0.3659541460145142
2011-01-03,HPQ,0.02082354514310114,-0.40183570679819053,0.09732501812305229,-1.4738770492666406,0.17104491074901676
2011-01-03,IBM,0.0010846295898567782,0.31198525678183275,0.2835865095476022,0.32577928107365334,0.32658997972424275
2011-01-03,INTC,0.014388365957237692,-0.7595256360095988,-0.3212648757873682,0.04268796775857163,-2.0
2011-01-03,JNJ,0.008436738614724604,-0.1367765768190693,-0.017370034189473704,-0.38658423750225057,-0.006375458765483617
2011-01-03,JPM,0.014473064567448679,-0.7200499827419012,-0.9624622025727135,-0.888711454573247,-0.3089762910797432
2011-01-03,KO,-0.02069920811800441,0.37886341772582455,0.29684609775988535,0.6757783397837047,0.1639658156338836
2011-01-03,MCD,-0.029895394607693193,-0.08013218195686538,0.2667749312977364,1.4928285228316676,-2.0
2011-01-03,MMM,-0.0013826563368006806,0.3234173551654777,0.6508976254975618,0.026748104787740083,0.29260633521113133
2011-01-03,MRK,0.00860176598829332,0.009973725294065261,0.23959268689077523,-0.5074980584422888,0.29782654743370934
2011-01-03,MSFT,0.003931325879662717,-0.3125360362148461,-0.8000660308349458,-1.0987662550827286,0.9612241772731362
2011-01-03,PFE,0.017533520309840123,-0.13283226744965068,0.41604539526444173,-0.9014611641354134,0.08691896652201966
2011-01-03,PG,0.002779075025321154,0.2404488083636319,0.2531842137077531,-0.07920594686398426,0.5473681582471267
2011-01-03,T,0.007078129973402403,0.4822846820878872,0.5590396221634912,0.13153998240629766,0.7562744416938727
2011-01-03,TRV,-0.004478591780899044,0.37091999602667336,0.7081905863436562,0.40381885106550486,0.0007505506708591961
2011-01-03,UTX,0.001645727702505484,0.3526303416257273,0.6147851973083422,0.3775288630122156,0.06557696455662429
2011-01-03,VZ,0.020038397405306885,0.7899335377282211,0.3690373773512403,0.32156148819226293,1.6792017476411598
2011-01-03,WMT,0.0038490329704954362,0.06759075349001345,0.028074215584924418,-0.2309120049356353,0.4056100498207512
2011-01-03,XOM,0.004695212209236077,0.02656657775702494,-0.5569381426204919,-0.017355994724217592,0.6539938706157843
2011-01-04,AA,0.002421593023274715,-0.1221564861563275,-0.9007984464802955,-1.0916311453435494,1.6259601333548626
2011-01-04,AXP,0.029015475602662377,-0.43423799305022964,0.3161901574823412,0.3304197301641258,-1.949323866797156
2011-01-04,BA,0.008066998360272803,0.6260745697933928,0.4576967672430275,0.6818003323241252,0.7387266098130256
2011-01-04,BAC,0.018258580059065554,-1.0295736001178195,-2.0,-2.0,0.9112791996465412
2011-01-04,CAT,0.008643539041135018,0.6426526567486441,0.52302436356123,2.0,-0.5950663933152975
2011-01-04,CSCO,0.012182911354880366,-0.7754623455984264,0.0921416384208392,-1.8058668198007546,-0.6126618554153637
2011-01-04,CVX,-0.0017466931166569832,0.14594654345399058,0.4664207817768805,0.24908597234422164,-0.2776671237591305
2011-01-04,DD,-0.0017275026545747751,0.008901331092776207,0.8529890490968088,0.28966050451786013,-1.1159455603363404
2011-01-04,DIS,0.024877924126164075,0.04717098172217297,-0.1575750265308645,0.6789713364206865,-0.3798833647233031
2011-01-04,GE,0.0016115534641090168,0.14551825825623688,-0.8629756163190984,0.22570639319368724,1.0738239978941218
2011-01-04,HD,-0.0031727345158549802,0.3346726519841465,0.6134023100039552,0.8049440561051554,-0.4143284101566714
2011-01-04,HPQ,0.013064468288973119,-0.17979767457999452,0.24132111707850246,-1.5226929830331657,0.7419788422146796
2011-01-04,IBM,-0.003996205546256237,0.18097970985637105,0.4396956837114816,0.41286597151396004,-0.3096225256563284
2011-01-04,INTC,-0.009929007679536195,-0.7281949464815698,-0.8009228984175369,0.03357529590124103,-1.4172372369284134
2011-01-04,JNJ,-0.0006310548609751443,-0.02212179228934788,0.3057329411446109,-0.32911747014253656,-0.042980847870118
2011-01-04,JPM,0.0122281092949299,-0.5511464805886873,-1.0207372951886324,-0.9692239418928661,0.3365217953154366
2011-01-04,KO,-0.005949828800566381,0.35165581084870706,0.19573541502714936,0.7140013384831877,0.14523067903578402
2011-01-04,MCD,0.004710364907607234,-0.8021235123377878,-2.0,1.5936294629866363,-2.0
2011-01-04,MMM,0.0,0.28618826810609715,1.016215032661987,0.09262309424373616,-0.25027332258743173
2011-01-04,MRK,0.005776629882616291,-0.09907788005747471,0.6967938240221665,-0.5307016424328725,-0.4633258217617181
2011-01-04,MSFT,-0.0032038787316510664,-0.3981955909127453,-1.0022488237234393,-1.0895703850700176,0.8972324360552208
2011-01-04,PFE,0.006671013535647807,0.152061372444066,0.5028356781587561,-0.8228687078776383,0.7762171470510802
2011-01-04,PG,-0.0023088537680906462,0.28085275706027246,0.3647835138126324,-0.09441523013342945,0.5721899875016144
2011-01-04,T,0.0033468575426511826,0.5701785196306521,0.8853330110165976,0.14179971848658812,0.6834028293887707
2011-01-04,TRV,-0.005938328749165445,0.33280671896743247,1.0979450997038571,0.5345755218310191,-0.6341004646325789
2011-01-04,UTX,0.0013900740395025313,0.2515891991657089,0.901702220077735,0.48003790908326033,-0.6269725316638688
2011-01-04,VZ,0.013724329176764138,0.8437061305880375,0.533809208928957,0.3352964369084241,1.6620127459267313
2011-01-04,WMT,-0.006573225890571299,0.18382644805982143,0.33756385154616164,-0.19273404135629235,0.40664953398959497
2011-01-04,XOM,-0.0026697892271660972,0.25551625303206366,-0.35846085231543046,-0.07933453731427534,1.2043441487258968
2011-01-05,AA,-0.012077316262914528,-0.19280909477183608,-0.16905700613027524,-1.3273726427060044,0.9180023645207713
2011-01-05,AXP,-0.00688267281856747,-0.21544076149903266,0.46110092876053943,0.2506759094124174,-1.3580991226700547
2011-01-05,BA,0.01956130632648434,0.685175642653728,0.5987818211477167,0.4812043155458009,0.9755407912676664
2011-01-05,BAC,-0.004137611923750062,-0.9249583961103406,-2.0,-2.0,1.2251248116689786
2011-01-05,CAT,-0.010368059895044968,0.6221143752871033,0.6964914169211838,2.0,-0.8301482910598736
2011-01-05,CSCO,0.008666442972029786,-0.766927986010861,-0.5878991209196983,-1.6430857344434842,-0.06979910266940051
2011-01-05,CVX,-0.008201916564638423,0.1882658616973033,0.5749495362714006,0.26560325214035013,-0.2757552033198408
2011-01-05,DD,0.01903129630131506,-0.03561435738390073,0.8418683345948828,0.21698651160010365,-1.1656979183466887
2011-01-05,DIS,-0.007757895686468896,0.29118120452649965,-0.2552577794529472,0.7183215659684903,0.4104798270639559
2011-01-05,GE,-0.004291519012956324,0.5415132074181143,-0.16693759992588497,0.2412100004802619,1.550267221699966
2011-01-05,HD,-0.004050784823279474,0.13119939297406988,0.6767322889276882,0.8045052521972402,-1.087639362202719
2011-01-05,HPQ,0.015384309083607661,-0.07528918049238816,0.14267849627664758,-1.4594704429481031,1.090924405194291
2011-01-05,IBM,0.01094845108545206,0.18008049439172513,0.4392449526440316,0.44983410349216646,-0.34883757296102275
2011-01-05,INTC,-0.008118528247063272,-0.6016248487010608,-0.46437510479628674,0.07430832015955247,-1.414807761466448
2011-01-05,JNJ,-0.001579850571023278,-0.06677117763524199,0.27807708525629005,-0.3941834128215967,-0.08420720534041931
2011-01-05,JPM,-0.004922126064563215,-0.5966712131151549,-1.669344932532429,-0.9295897261329734,0.8089210193199378
2011-01-05,KO,-0.007244983655399717,-0.05187878346047873,-0.11339582975300602,0.6653717558837208,-0.707612276512151
2011-01-05,MCD,-0.006027812366153573,-0.275879341760305,-0.5088424976673865,1.6812044723864716,-2.0
2011-01-05,MMM,-0.006114979163151624,0.1545871807750617,0.7813904986551006,0.010086626083618476,-0.3277155824135339
2011-01-05,MRK,0.013676513880868546,-0.16381966332688805,0.5920411748572433,-0.5956374440447451,-0.4878627207931624
2011-01-05,MSFT,0.029285475528540106,-0.7348942574100191,-1.2299729159400519,-1.0613050201886949,0.0865951638986899
2011-01-05,PFE,0.0038650477048940424,0.15707807312366154,-0.0037916114186644302,-0.7459806719139526,1.2210065027036017
2011-01-05,PG,-0.0016980599418088271,0.3138760794904373,0.6114135751586935,-0.07441267107232498,0.40462733438494325
2011-01-05,T,-0.008863841090424374,0.4507891388052303,0.6589698923616344,0.17715108694453344,0.5162464371095232
