date,symbol,forward_return,composite_zscore,Chaikin_Oscillator_aligned_z,MACD_aligned_z,Mom_12M_Refined_aligned_z
2015-01-02,AXP,-0.02644576103052143,-0.1702390913166669,-0.41022246302541043,0.5390847036513097,-0.6395795145758999
2015-01-02,BA,-0.006925693353035278,-0.3436660147754968,-0.45556173828980046,0.512678971873213,-1.0881152779099028
2015-01-02,CAT,-0.05278666200685911,-0.7939696293350039,-0.37760266794393127,-2.0,-0.004306220061080681
2015-01-02,CSCO,-0.019920226469960944,0.5582279740706567,0.487034450591843,0.020269659750706916,1.1673798118694203
2015-01-02,CVX,-0.039971777682313525,-0.9579534190405455,-1.2009738444252225,-0.2940115806748374,-1.3788748320215765
2015-01-02,DD,-0.030928090217463455,-0.4013573792769563,-0.17291405667976043,-1.0276351305111389,-0.0035229506399696237
2015-01-02,DIS,-0.014613348633958911,0.44246916807528774,-0.6025878733865839,1.2765871220072518,0.6534082556051953
2015-01-02,GE,-0.018356007968243215,-0.9175434432345478,-0.5065713556664619,-1.0178704930974232,-1.2281884809397583
2015-01-02,GS,-0.031223027637649947,0.2256948028556807,-0.5764576944105452,1.6092444425308106,-0.3557023395532234
2015-01-02,HD,-0.020979976830535763,0.5283143902356043,-0.828627371149825,1.781521210442103,0.6320493314145349
2015-01-02,IBM,-0.015735347636327335,-0.9404400520799694,-0.11090288246212876,-0.9376828590613666,-1.7727344147164128
2015-01-02,INTC,-0.011276456875946916,1.299079085863199,2.0,-0.10276274241040297,2.0
2015-01-02,JNJ,-0.006984285755718855,-0.02224958286569319,0.35556521802273316,-1.072452587951741,0.6501386213319283
2015-01-02,JPM,-0.03104528678326446,-0.03581593166075766,0.12833291328044205,0.2596502694903595,-0.49543097775307454
2015-01-02,KO,0.0,-0.0071290511830614895,0.6097129908173641,-0.5638919687875251,-0.06720817557902342
2015-01-02,MCD,-0.011044502061073658,-0.5045835532925141,-0.26619512403733836,-0.3822191594576473,-0.8653363763825567
2015-01-02,MMM,-0.0225527433545476,0.5157871446638694,-0.5775304078557342,1.7281805284898615,0.396711313357481
2015-01-02,MRK,0.0148627552785916,0.00026143887785675296,0.10256698669517471,-0.9820994659440981,0.8803167958824937
2015-01-02,MSFT,-0.009196187997866256,0.9490339213230662,2.0,-0.65308608085618,1.5001878448253783
2015-01-02,NKE,-0.016100021686311417,-0.06256751595110481,-0.7560521345080445,-0.3753161640365773,0.9436657506913074
2015-01-02,PFE,-0.005426511113944876,-0.10479691822609954,0.492475458884712,-0.3295927479873872,-0.47727346557562345
2015-01-02,PG,-0.004754640256054321,0.16323070492785005,-0.19113751735931583,0.4650499669932754,0.21577966514959054
