date,symbol,forward_return,composite_zscore,Chaikin_Oscillator_aligned_z,Dist_MA20_aligned_z,Dollar_Volume_aligned_z
2014-01-02,AXP,0.0032424035023721487,-0.21711789303426068,0.1848635711918787,-0.905324830745984,0.06910758045132327
2014-01-02,BA,0.0069507669141719575,0.3141556075433403,0.5562486300200123,0.3601879407959251,0.026030251814083513
2014-01-02,CAT,-0.0005565914050569276,0.016652676439329567,-0.013318515703614132,-0.3042287763033527,0.36750532132495556
2014-01-02,CSCO,-0.0009091401220160389,-1.5298788965640926,-2.0,-1.2643503063978905,-1.3252863832943877
2014-01-02,CVX,0.0016920306366994264,0.3204466027827148,0.3785036048270336,0.2801124361663889,0.30272376735472195
2014-01-02,DD,-0.004558995658658804,-0.125095582010692,-0.013282026893215532,-1.2629924588243941,0.9009877396855336
2014-01-02,DIS,-0.0020976579657157046,-0.7379568790314376,-0.4170853879935892,-2.0,0.20321475089927657
2014-01-02,GE,-0.0007273749396107254,-0.6391546494716562,-0.10324654209163847,0.18578259367666985,-2.0
2014-01-02,GS,0.007122900146361744,0.09922265537302259,0.22909001417818856,-0.520867266018741,0.5894452179596202
2014-01-02,HD,-0.0015846229717392246,0.26329506340548686,0.5500134410101704,-0.4214565392120539,0.661328288418344
2014-01-02,IBM,0.005983168015367468,-0.38023629366430933,0.27697136948556506,-0.8368003798686949,-0.5808798706097983
2014-01-02,INTC,-0.0003880573413896915,-1.246704396076159,-1.9186423139500892,-0.7954714380013582,-1.0259994362770293
2014-01-02,JNJ,0.009007641129198163,0.8952701260819782,0.7771567390178353,1.837826681272448,0.07082695795565144
2014-01-02,JPM,0.007730552022238157,-0.5674214362982218,-0.03672254670331728,-0.4189031352814559,-1.2466386269098924
2014-01-02,KO,-0.004919146269627306,-0.043826622749989524,-0.5976319960556357,0.23979592507401354,0.22635620273165355
2014-01-02,MCD,0.0013480544192914223,0.6445091189603002,0.3134410926664516,0.684805996621976,0.9352802675924728
2014-01-02,MMM,0.0023166731789350248,-0.19867289591400306,0.1467457818903454,-1.2828431211759015,0.5400786515435468
2014-01-02,MRK,0.004849721663939377,0.09540751017699849,-0.8055749031194929,0.45486381679818055,0.6369336168523078
2014-01-02,MSFT,-0.006727666507746477,-0.39589339596095435,-0.4770860854710022,1.289405897588139,-2.0
2014-01-02,NKE,-0.002684336514266361,0.706380563016331,0.26602026840173854,0.7840429173082867,1.0690785033389676
2014-01-02,PFE,0.0019702053943542186,1.1060118034650188,1.490011033796215,1.433031872456361,0.3949925041424808
2014-01-02,PG,-0.00111820969770271,0.9770143908127974,0.9283992032565582,2.0,0.002643969181834168
2014-01-02,T,-0.004291979053058448,0.18214274225301194,-0.2613292245410364,0.31631165530410926,0.49144579599596294
2014-01-02,TRV,-0.0019028697438572273,0.7609161066419107,0.38674804405928503,0.47631149836266956,1.4196887775037774
2014-01-02,UNH,0.007107570539985675,0.44649940877652616,0.3721578678992081,-0.0566269071648764,1.0239672655952468
2014-01-02,UTX,0.003644611844249912,0.2850211458331695,0.06598418119457751,-0.05650573991045245,0.8455849962153835
2014-01-02,V,0.0006785100245112474,-0.7406861113688178,-0.05274578098942689,-1.4857394907459265,-0.6835730623710996
2014-01-02,VZ,-0.01183692943594794,0.6829629383132872,0.5839515783919016,0.7057606104579632,0.7591766260899969
2014-01-02,WMT,-0.00329456168157205,0.5046136261306226,0.9172526692667081,0.7411325389705372,-0.14454432984537774
2014-01-02,XOM,-0.0024061073081093065,-0.30504432125882797,0.5462106645267256,-0.1813320046044209,-1.2800116236987886
2014-01-03,AXP,-0.0004458384650777303,-0.22571420046917232,0.045093365331644514,-1.0399018724646016,0.3176659057254402
2014-01-03,BA,0.005740928116063415,0.1001669810587678,0.41107121467392904,0.03236159001047881,-0.14293186150810447
2014-01-03,CAT,-0.013136709033804483,0.12695175779444634,-0.061035360005130164,-0.15190581790417448,0.5937964512926437
2014-01-03,CSCO,0.001364919612824922,-1.4573535459088705,-2.0,-1.2200288731258864,-1.1520317646007248
2014-01-03,CVX,-0.0026541346761661533,0.3202564464247834,0.2603392277134349,0.19183579315987379,0.5085943184010416
2014-01-03,DD,-0.001831989441826276,0.18937881083737115,0.36681671576696845,-0.7526989543913778,0.9540186711365228
2014-01-03,DIS,-0.003810254944930924,-0.6746105803674639,-0.4332099960661631,-1.9966605659675987,0.40603882093137006
2014-01-03,GE,-0.00800561226879315,-0.44268899832889447,-0.0430432630505788,0.29240374558103077,-1.5774274775171355
2014-01-03,GS,0.006847917811972026,-0.18165144444244397,0.07534642242666376,-0.8874849495628633,0.26718419380886754
2014-01-03,HD,-0.00964722907896265,0.28537153047854225,0.5145459466011337,-0.28281404188670256,0.6243826867211956
2014-01-03,IBM,-0.003429497475551324,-0.5598530060835829,0.12913089811994996,-1.13580267834976,-0.6728872380209389
2014-01-03,INTC,-0.012412806167711676,-1.2299801834768118,-2.0,-0.6352259451712032,-1.054714605259232
2014-01-03,JNJ,0.005226325490348183,0.6078413189599854,0.6454648323407117,1.2939610037284233,-0.11590187918917877
2014-01-03,JPM,0.0057961530055274935,-0.8729731800352966,-0.28693305435857247,-0.8851141627620192,-1.4468723229852982
