date,symbol,forward_return,composite_zscore,Chaikin_Oscillator_aligned_z,Mom_12M_Refined_aligned_z,Dist_MA20_aligned_z
2013-01-02,AA,0.00889925953629267,-0.3455828057456152,0.23884228878735228,-0.6316658839982761,-0.6439248220259217
2013-01-02,AXP,0.00425554536676076,0.09084077317305529,0.3065977978400736,0.319684900213543,-0.3537603785344508
2013-01-02,BA,0.005190113374473837,-0.06674555027766706,0.27726356939196645,-0.4513787388945291,-0.026121481330438512
2013-01-02,BAC,-0.005818771348656715,-0.6666666666666666,-2.0,2.0,-2.0
2013-01-02,CAT,0.009625399141667934,-0.676816817709307,0.3708777155240363,-0.7540385036367503,-1.647289665015207
2013-01-02,CSCO,0.005408030302031186,-0.251128778131297,-0.3198349611254113,-0.27751197266148736,-0.15603940060699256
2013-01-02,CVX,-0.0042573720507905755,-0.04043960840033193,0.2991121643447598,-0.49709204780138727,0.07666105825563169
2013-01-02,DD,0.0030264102528223535,-0.4746311497380317,0.1377176512008231,-0.19947271066881075,-1.3621383897461075
2013-01-02,DIS,0.0021524463916118286,0.2940765231334454,0.27618618646609683,0.8931179940913699,-0.2870746111571304
2013-01-02,GE,-0.011246846532199761,0.42689083352960205,0.39297711279464914,0.3621041461724934,0.5255912416216637
2013-01-02,HD,-0.002835495219460582,0.8784129843100436,0.24936283080746943,2.0,0.3858761221226608
2013-01-02,HPQ,0.007989070886643468,-1.205677529339356,-0.17935766484121726,-2.0,-1.437674923176851
2013-01-02,IBM,-0.005499942650666001,0.0307071972890187,0.32761199486022136,-0.3976026804130713,0.16211227741990603
2013-01-02,INTC,-0.002806451526382814,-0.7949169775507303,-0.3133018230175125,-1.3847369583356,-0.6867121512990785
2013-01-02,JNJ,-0.0014119905914009578,0.3451854972955501,0.4119187415402112,-0.12205280330560582,0.745690553652045
2013-01-02,JPM,-0.0020148305207234873,-0.1387096853430602,-0.27325654183264847,0.6567219605879813,-0.7995944747845134
2013-01-02,KO,0.0,0.21535963218881168,0.2306780837126565,-0.05848553654654646,0.47388634940032504
2013-01-02,MCD,0.005658729279560015,-0.12008964078882794,0.25082077708963585,-1.0780060199637442,0.4669163205076246
2013-01-02,MMM,-0.00116055078495636,0.13475768595437845,0.3270271697538247,0.06268049636529108,0.01456539174401957
2013-01-02,MRK,0.023947891700482726,1.077608537393581,0.8270395760879722,0.40578603609277136,2.0
2013-01-02,MSFT,-0.013395912855531433,-0.33788230601425195,-0.7537560632776685,-0.33319819419166946,0.0733073394265821
2013-01-02,PFE,-0.0023160602841432176,0.16243589077187048,0.056578618023915936,0.34039974697596326,0.09032930731573223
2013-01-02,PG,-0.006340863362129134,0.3624824515297566,0.3290150992635419,-0.21327201600654275,0.9717042713322706
2013-01-02,T,0.0005711563910846262,-0.030467914643522748,-0.23477752704725,0.4118164542784572,-0.26844267116177545
2013-01-02,TRV,0.007685494111107305,0.6250280186310851,0.4605932707935124,0.41225722892858885,1.0022335561711542
2013-01-02,UNH,-0.04675465005779578,0.33734724671194316,0.3902221399244131,-0.23081337075217218,0.8526329709635885
2013-01-02,UTX,0.00369012564036586,-0.03618608115448913,0.22592335898335877,-0.04770217768534829,-0.2867794247614779
2013-01-02,VZ,-0.00474359608190611,0.3366517506619949,0.21269959048379694,0.14834405390234154,0.6489116075998461
2013-01-02,WMT,-0.006354716563468088,0.6670025705820857,0.3499691647605532,0.46008175606889906,1.1909567909168046
2013-01-02,XOM,-0.0018037275031574929,0.19821640593822135,0.259135763812967,-0.29672493603733263,0.6322383900390297
2013-01-03,AA,0.020947986214255643,-0.46293551935621774,0.2378465354340164,-0.6474019029520953,-0.9792511905505743
