date,symbol,forward_return,composite_zscore,ZScore_MA20_aligned_z,Chaikin_Oscillator_aligned_z,RSI_14_aligned_z
2016-01-04,AAPL,-0.025059376218166785,0.3026861492725958,0.23428693030557657,-1.0453886316648284,1.7191601491770392
2016-01-04,AXP,-0.015387234840958497,1.0161415567185683,1.3221556076815,0.30225052327083335,1.4240185392033713
2016-01-04,BA,0.004056977636428316,0.4562977724319679,0.7483678485753501,0.10879803235833771,0.511727436362216
2016-01-04,CAT,-0.010442652496245652,-0.7543368612165344,-1.4667037346657117,-0.27985271765028336,-0.5164541313336083
2016-01-04,CSCO,-0.004543922646431664,-0.5456183329242886,-0.12533241411136012,-1.7126664129721323,0.20114382831062644
2016-01-04,CVX,0.008553928714312375,-0.14740404658627396,-0.5031366766523171,0.3440958764344582,-0.283171339540963
2016-01-04,DD,-0.007610730724776804,-0.19015710316468346,0.0069556313604079,-0.6784741919381913,0.10104725108373304
2016-01-04,DIS,-0.020198024099348788,1.6341895049181492,0.966982064625584,1.9355864501288635,2.0
2016-01-04,GE,0.0009770015136179033,-1.1586725740921788,-1.5917401400025113,-0.24168868991551726,-1.642588892358508
2016-01-04,GS,-0.017217911856021728,0.2980410876173585,0.24655097110895866,0.06214877717904202,0.5854235145640748
2016-01-04,HD,-0.004882814823627402,-0.17869394374051426,0.13237258451452447,0.05890080389402104,-0.7273552196300883
2016-01-04,IBM,-0.0007354061550615132,0.039579555452165356,-0.004779715176437371,0.05710130724927532,0.06641707428365812
2016-01-04,INTC,-0.0047072409402155735,0.14547184597203253,0.9572368730730364,-0.5283960462053332,0.007574711048394405
2016-01-04,JNJ,0.004179860467251828,0.7948548457704662,1.4101557433088827,0.5262322995756445,0.44817649442687146
2016-01-04,JPM,0.0017290263149640772,0.6068263488290953,0.8491133585636425,0.40442909515850944,0.566936592765134
2016-01-04,KO,0.003537990808232472,0.01621419765340936,0.5294354345956691,-0.488569049173847,0.007776207538406002
2016-01-04,MCD,0.013777970961607044,-1.1938617410149746,-1.116678518558649,-0.5523094695560345,-1.9125972349302403
2016-01-04,MMM,0.004359068098783947,0.704342815393978,0.45429430408006044,0.4487132088212971,1.2100209332805765
2016-01-04,MRK,0.01276697207926536,-0.444630679751955,-0.5504729783530764,-0.36065127512942563,-0.42276778577336305
2016-01-04,MSFT,0.004562176840827048,-0.5652905702972644,0.008135813573126663,-0.991390576031113,-0.7126169484338067
2016-01-04,NKE,0.013979369643356776,1.5532775913412407,1.5108750627966383,2.0,1.1489577112270837
2016-01-04,PFE,0.0071990262133492244,1.1490146386538524,0.9695604319492122,2.0,0.47748348401234536
2016-01-04,PG,0.003189414183370598,-0.4571429773785125,-0.3697099534368149,-0.18047651631629597,-0.8212424623824267
2016-01-04,TRV,0.004546615771524154,0.4347012867773829,0.6638697458394822,0.18583770782473016,0.45439640666793635
2016-01-04,UNH,0.0018891225042241278,-0.25024618243756613,-0.358645666767425,0.19142251663691087,-0.5835153971821843
2016-01-04,UTX,0.0015694514534849713,-0.9011941701102885,-1.6183813393754165,-0.2485088169200575,-0.8366923540353917
2016-01-04,V,0.0075299183563777294,0.8415904754433076,1.0661477164292952,0.7397852304633209,0.7188384794373064
2016-01-04,VZ,0.013734276248178912,-0.5356732951423697,-0.778310207166796,-0.1425876770654882,-0.6861220011948249
2016-01-04,WMT,0.023755313089017793,-2.0,-2.0,-2.0,-2.0
2016-01-04,XOM,0.008520507204802241,-0.3097990328880962,-1.001504111993156,0.2222851393603186,-0.15017812603145103
2016-01-05,AAPL,-0.01956963956912039,1.6034748903228382,0.8332423312602409,2.0,1.977182339708274
2016-01-05,AXP,-0.0277692150412856,1.255832186394503,1.710402522165406,0.4144518282020118,1.6426422088160915
2016-01-05,BA,-0.01587897348973588,0.3644137772631069,0.5361581614797515,0.2110515334178095,0.3460316368917599
2016-01-05,CAT,-0.01575481629316533,-0.206296219458864,-0.6415420575197087,-0.05708758033415619,0.07974097947727284
2016-01-05,CSCO,-0.010650750895371042,-0.05104736432486834,0.2858920344314651,-0.8650856283718646,0.4260515009657946
2016-01-05,CVX,-0.03950431665012821,-0.25647334590779386,-0.5105478990744494,0.0877602367582688,-0.34663237540720093
2016-01-05,DD,-0.021997575311770157,0.211306895491979,0.3428097693391247,-0.075454360691768,0.36656527782858034
2016-01-05,DIS,-0.005351791774373393,1.576330205598443,1.2914826149976357,1.4375080017976933,2.0
2016-01-05,GE,-0.015940335593796928,-0.8833639285938572,-1.080407573631453,-0.3950478707055997,-1.174636341444519
2016-01-05,GS,-0.02441267653219814,0.794994547104841,1.1413715201312742,0.24582560216322882,0.9977865190200199
2016-01-05,HD,-0.010350342505775156,0.26325509731549185,0.73114823295477,0.21639136614229487,-0.15777430715058943
2016-01-05,IBM,-0.005005471954370733,0.18826500374064256,0.21960275406872043,0.14093929846048817,0.20425295869271906
2016-01-05,INTC,-0.022169727665443117,0.23244801594978207,1.0696895495971679,-0.6778872716502767,0.3055417699024551
2016-01-05,JNJ,-0.005054274846023388,0.5552938344128032,0.8342255697075525,0.6164038317011923,0.21525210182966503
2016-01-05,JPM,-0.01443571536248145,0.49612463678924296,0.724643450954882,0.28514185121169305,0.4785886082011539
2016-01-05,KO,-0.005405422776889046,-0.15449597702321866,0.29501994734862735,-0.6810395241856427,-0.07746835423264059
2016-01-05,MCD,-0.0067114881954510874,-1.4629981511248573,-1.8480865777527729,-0.5409078756217991,-2.0
2016-01-05,MMM,-0.02014110973489136,0.5058049318491358,0.3714129412740147,0.3322842135025714,0.8137176407708212
2016-01-05,MRK,-0.013734684607180636,-0.809789525213648,-1.2789291198757602,-0.3525049719357717,-0.7979344838294121
2016-01-05,MSFT,-0.018165435027724386,-0.7545630001563718,-0.15739042522658733,-1.4864473883935774,-0.6198511868489505
2016-01-05,NKE,-0.01426747121610994,0.7856888050121823,0.6806058197389082,1.2615749047019724,0.4148856905956663
2016-01-05,PFE,-0.017713094135946017,0.24620980389799274,0.13638590165316455,0.5366368288748209,0.0656066811659928
2016-01-05,PG,-0.009666488549942454,-0.33439049880077126,-0.23085656610623106,-0.08755805550651624,-0.6847568747895664
2016-01-05,TRV,-0.012944702310420997,0.28798470590459596,0.37914167169524254,0.24084482811118585,0.24396761790735955
2016-01-05,UNH,-0.010198795215202838,-0.11621338521997467,-0.23586245587845056,0.29294432269496007,-0.4057220224764335
2016-01-05,UTX,-0.027162539351991866,-0.6830184917070935,-1.182642441835483,-0.26471431925316835,-0.6016987140326293
2016-01-05,V,-0.013111934443875706,0.47636922992760217,0.6043439049201613,0.48804116645386597,0.33672261840877915
2016-01-05,VZ,-0.009034923566792585,-1.0007643827798731,-1.2517275625569122,-0.6764763871804202,-1.074089198602287
2016-01-05,WMT,0.010012509212984577,-2.0,-2.0,-2.0,-2.0
2016-01-05,XOM,-0.008320241227882885,-0.5335651171029666,-0.9725608015044442,-0.28818837655981777,-0.33994617324463755
2016-01-06,AAPL,-0.04220443425554732,1.4172948190689194,0.4716804008144714,2.0,1.7802040563922867
2016-01-06,AXP,-0.009003278280602323,1.1967842501637072,1.5088453831758744,0.3487714746868003,1.7327358926284468
2016-01-06,BA,-0.04192168476472535,0.275828035044846,0.516377724863509,0.01743522230646017,0.2936711579645688
2016-01-06,CAT,-0.03443080475294624,-0.2437899516271399,-0.7175061798398731,-0.06565128119677989,0.051787606155233284
2016-01-06,CSCO,-0.023067621411721473,-0.0747513587440596,0.08824007402857886,-0.5700083913126528,0.25751424105189513
2016-01-06,CVX,-0.035436656328930116,0.1690796593746959,0.35386813923875776,0.03954191425139821,0.1138289246339317
2016-01-06,DD,-0.03755706118630542,0.1824796861825788,0.12699055343392737,0.11036998015022415,0.31007852496358485
2016-01-06,DIS,-0.008569319096166317,0.969855916781416,0.5610641295904321,0.6959916320917424,1.6525119886620736
2016-01-06,GE,-0.04231400640741767,-0.48341536833903104,-0.578773410519251,-0.2043636264633077,-0.6671090680345343
2016-01-06,GS,-0.030734831978419197,0.7575169574074548,1.1183499227270401,0.1626904980392255,0.991510451456099
2016-01-06,HD,-0.02850970643760653,0.2744609365933943,0.8322302765786247,0.12081302231670853,-0.12966048911515027
2016-01-06,IBM,-0.0170895661551127,-0.07683757011641967,-0.11505539122830304,-0.03731167403805846,-0.07814564508289752
