date,symbol,forward_return,composite_zscore,Chaikin_Oscillator_aligned_z,RSI_14_aligned_z,Volume_Shock_aligned_z
2009-01-02,AA,-0.0206441426459959,0.34558616966848116,-0.016171611168322254,-0.9470698798262343,2.0
2009-01-02,AXP,0.032074978568118695,0.5283108771304144,0.2951998010853102,1.4143565914713,-0.12462376116536729
2009-01-02,BA,0.020331656636644935,0.23621563181716101,0.18446749042140215,-0.717783206787137,1.241962611817218
2009-01-02,BAC,-0.02442459827991883,-0.059554525354732456,-2.0,1.3109701222751342,0.5103663016606684
2009-01-02,C,-0.00840358021871701,0.6755115725364784,0.9874670429348066,1.586314100233132,-0.5472464255585034
2009-01-02,CAT,-0.017693852107111607,-0.6107762539438781,0.12014181810476447,-1.1019103822312633,-0.8505601977051356
2009-01-02,CVX,0.0018296404529927202,0.25276508876444176,0.6192169990778439,0.17126689444972168,-0.032188627234240326
2009-01-02,DD,-0.023361958538429928,1.9933201452929528,2.0,2.0,1.9799604358788587
2009-01-02,DIS,-0.0175586838351659,-0.3227010644222305,0.32729836692878134,-0.15438992007972646,-1.1410116401157464
2009-01-02,GE,-0.025776000443565317,-0.37415623021111877,-0.6328189940733417,0.5210303532884268,-1.0106800498484414
2009-01-02,HD,0.02403625761863437,0.25995368554279735,0.7993633263127294,0.03974441465371079,-0.05924668433804816
2009-01-02,HPQ,-0.013039852648748518,-0.06168538457111287,-1.2363678408846515,-0.16203481073202555,1.2133464979033384
2009-01-02,IBM,-0.00629491864790277,0.15656565419071536,0.13832431056208433,-0.3725863310072192,0.703958983017281
2009-01-02,INTC,-0.01907909866928814,-0.0716103309466634,-0.6138124292262159,-0.14983792965596823,0.548819366042194
2009-01-02,JNJ,-0.009893161883653967,0.028830660227915573,0.011014652077556185,-0.2332949266436716,0.3087722552498621
2009-01-02,JPM,-0.06698587127886235,-0.3141493014235472,-0.6663093894253992,0.7854241924049202,-1.0615627072501626
2009-01-02,KO,-0.010022209960082296,-0.0997877033896497,0.5509025081984589,0.23040239623570152,-1.0806680146031096
2009-01-02,MCD,-0.0029801409770637832,-0.09632169081718873,0.2513335512911122,-0.7715989745849545,0.2313003508422762
2009-01-02,MMM,-0.01165803435405055,0.42354107914554384,0.27233384090962176,0.4605347184665447,0.5377546780604651
2009-01-02,MRK,-0.015161641469412235,-0.373739797658353,-0.12261978531932874,-1.0890034501550663,0.09040384249933593
2009-01-02,MSFT,0.009345453196820674,0.1768955945482139,0.74836873944092,0.33195189253809904,-0.5496338483343773
2009-01-02,PFE,-0.006020502631360669,-1.0698431651779574,-0.9767758010353979,-1.1608058878952539,-1.0719478066032204
2009-01-02,PG,-0.007165599899352615,-0.03901852407040322,0.13551717186711254,0.08136454970755336,-0.33393729378587556
2009-01-02,T,-0.033650411992335094,-0.9333340554739583,-1.4357624709883472,-0.4121663497599166,-0.9520733456736113
2009-01-02,TRV,-0.014822260536597298,-0.11024779251668781,0.41130607985363865,-0.3900974188956972,-0.3519520385080049
2009-01-02,UTX,-0.01182908942020855,-0.8462693858612417,-0.20400320036587485,-1.216621078556046,-1.118183878661804
