date,symbol,forward_return,composite_zscore,Dist_MA20_aligned_z,MFI_14_aligned_z,RSI_14_aligned_z
2012-01-03,AA,0.02383499020828017,-1.2976894000445045,-0.7521829743180523,-1.4424310419663673,-1.6984541838490939
2012-01-03,AXP,0.0006223817012460664,-0.9216065007126223,-0.7954704539642476,-0.8092255806092434,-1.160123467564376
2012-01-03,BA,0.0014822594312038362,0.18186286860618708,-0.14434452209470205,0.432190114286719,0.25774301362654434
2012-01-03,BAC,0.001723835556855846,0.00918761986721047,1.2721531821632588,-0.39690492620832424,-0.8476853963533032
2012-01-03,CAT,0.009257423651035657,-0.28450372364886617,-0.3429297109726129,0.37956692807869064,-0.8901483880526764
2012-01-03,CSCO,0.019323871073747556,-0.7288946011330083,-0.6703190803609087,-0.5605465650538638,-0.9558181579842527
2012-01-03,CVX,-0.0017216123177834497,0.5204967522435533,1.1084954936233686,0.05370800780441815,0.3992867553028732
2012-01-03,DD,0.00537088507645711,1.2349692484166837,2.0,0.7838392394744005,0.9210685057756502
2012-01-03,DIS,0.014095444598548834,0.6716168911781791,0.8725942877927236,0.3651680472930562,0.7770883384487577
2012-01-03,GE,0.010892929611759916,1.1998920090807503,1.754998670803713,0.6144578950184986,1.2302194614200395
2012-01-03,HD,0.014238083939225765,0.670847821113448,-0.1172255995414066,1.2004382327205212,0.9293308301612291
2012-01-03,HPQ,-0.0007513229724050996,-1.5389123065848553,-1.1977179545941363,-2.0,-1.4190189651604304
2012-01-03,IBM,-0.004079361948618243,-1.8153172633857215,-1.755236595493626,-2.0,-1.6907151946635386
2012-01-03,INTC,0.023227638073236134,-0.8333896017738022,-0.8668958293904389,-0.5251953169045406,-1.1080776590264267
2012-01-03,JNJ,-0.006071389068461164,-0.15005824715227445,-0.5436106102457445,0.3300812567705149,-0.23664538798159374
2012-01-03,JPM,0.006334589729614981,0.6085811214945223,1.6228283161276722,0.11509173791055356,0.08782331044534089
2012-01-03,KO,-0.006273206962149835,0.3659315231851516,-0.1353383761432866,0.6277019130731364,0.6054310326256048
2012-01-03,MCD,0.0055646151418835554,-1.0384745627843028,-1.2311530648170796,-1.1552246003502642,-0.729046023185565
2012-01-03,MMM,0.008264622976448921,-0.07112350045194976,0.00670647668170029,-0.08177179974304997,-0.1383051782944996
2012-01-03,MRK,0.0010443008941718457,1.1191986505704408,0.8313420299049122,0.7001121488916445,1.8261417729147655
2012-01-03,MSFT,0.02353419729126549,0.020960320048246966,0.18742068100085843,-0.3386555568090964,0.2141158359529789
2012-01-03,PFE,-0.00910352414194271,1.229978330089325,0.3900291976165326,1.99867350765348,1.3012322849979623
2012-01-03,PG,-0.0004490496648069664,0.1690590280521085,-0.6077800856886869,0.5997231835640982,0.5152339862809143
2012-01-03,T,0.001646247160943748,0.5900433407276008,0.0530324638937693,0.38756848784624937,1.3295290704427838
2012-01-03,TRV,-0.004068408056383421,0.1893796305236856,-0.1981717262097125,0.8678879573052786,-0.10157733952450933
2012-01-03,UTX,0.005223841607201907,-1.5844597829580487,-1.1813119940782084,-2.0,-1.5720673547959376
2012-01-03,VZ,-0.013087751394780578,0.3211642654085363,-0.5702842133424386,1.0242869613054926,0.509490048262555
2012-01-03,WMT,-0.010276822267112351,0.22865260124139752,-0.30271149147058424,0.23470931646286536,0.7539599787319115
2012-01-03,XOM,0.00023257661945996766,0.7844371817337845,0.609925375349186,0.8533976988058641,0.8899884710463034
2012-01-04,AA,-0.009523374965977438,-0.5676352271052102,0.3376930554448219,-0.903769808772193,-1.1368289279882593
2012-01-04,AXP,0.01160883297760984,-0.9052931590141514,-0.8074521946296668,-0.7301570733041058,-1.1782702091086814
2012-01-04,BA,-0.010763121266280873,-0.0637891407678729,-0.26932583907953334,-0.21444026902422342,0.29239868580013806
2012-01-04,BAC,0.08605886983558442,-0.0528048771743479,1.16702910876468,-0.47417324069845934,-0.8512704995892644
2012-01-04,CAT,0.007063101687917461,0.11655340962224925,0.021434173594429184,0.9688599247986498,-0.6406338695263313
2012-01-04,CSCO,-0.003686531892200029,-0.2956417926144304,0.06085679914093687,-0.563287046738767,-0.38449513024546117
2012-01-04,CVX,-0.009802094058370736,0.1616150159445319,0.7125067400599598,-0.5213100829890425,0.29364839076267835
2012-01-04,DD,0.006344278072886844,1.403785816927129,2.0,1.1826566716795524,1.0287007791018348
2012-01-04,DIS,0.0167309300511298,0.8883988848620173,1.1892826818067248,0.2970272520299547,1.1788867207493723
2012-01-04,GE,-0.0005388389470382116,1.441435321254863,1.728533570745832,1.1015174542091248,1.4942549388096322
2012-01-04,HD,0.008188644089466068,1.1574127879447655,0.26987296677627937,1.7344921087688139,1.4678732882892032
2012-01-04,HPQ,-0.003759685391464651,-1.4532828382797716,-1.1491010701859679,-1.7166734945207078,-1.4940739501326388
2012-01-04,IBM,-0.004743216344197609,-1.9418865887571342,-1.8655925327070988,-2.0,-1.9600672335643037
2012-01-04,INTC,0.011548788424107892,-0.0069966906776818645,0.059902738734705384,0.25063704563764855,-0.3315298564053995
2012-01-04,JNJ,-0.0012220271307492592,-0.42880708835822673,-0.94195083624719,0.4704937051044311,-0.8149641339319214
2012-01-04,JPM,0.02088700982850744,0.8500930127670205,1.5965284775415591,0.7568176938808304,0.19693286687867229
2012-01-04,KO,-0.004734287880376109,-0.0373498915670467,-0.6050044310240318,0.5856754673456437,-0.09272071102275199
