factor,mean,std,ICIR,abs_ICIR,year
Bollinger_Band_Width,-0.0016731464501229501,0.326876422538269,-0.005118590191151112,0.005118590191151112,2010
Chaikin_Oscillator,0.018680518242133206,0.21473982592146942,0.08699140069604365,0.08699140069604365,2010
Dist_MA20,0.014892221416715078,0.2691402274399511,0.05533257350032424,0.05533257350032424,2010
Dollar_Volume,-0.031141473134713337,0.23514653212056352,-0.13243432873059163,0.13243432873059163,2010
Historical_Volatility_20D,-0.017183647530278217,0.3738415227825139,-0.04596505867614652,0.04596505867614652,2010
MACD,-0.002870421004517748,0.25512050520185614,-0.011251235968847808,0.011251235968847808,2010
MFI_14,0.015207780298823307,0.2171450391422429,0.07003512656285603,0.07003512656285603,2010
Mom_12M_Refined,0.0009705238431178002,0.32023527986315214,0.003030658719215882,0.003030658719215882,2010
RSI_14,0.013087443702881356,0.24225573966702235,0.054023255427796645,0.054023255427796645,2010
Volume_Shock,0.007462731197315096,0.20039554979215085,0.03724000460616715,0.03724000460616715,2010
ZScore_MA20,0.008638093654162083,0.24599668292765825,0.03511467533366025,0.03511467533366025,2010
