factor,mean,std,ICIR,abs_ICIR,year
Bollinger_Band_Width,0.013579309120554044,0.27799056640046255,0.04884809328742549,0.04884809328742549,2012
Chaikin_Oscillator,-0.000572145923942442,0.22542573876365893,-0.002538068310568084,0.002538068310568084,2012
Dist_MA20,0.022837042801648177,0.27614739071842426,0.0826987455584331,0.0826987455584331,2012
Dollar_Volume,-0.005359487632102577,0.18778755257779942,-0.028540164449303258,0.028540164449303258,2012
Historical_Volatility_20D,-0.009867472696300597,0.34921707045807193,-0.028255986121632954,0.028255986121632954,2012
MACD,0.01008314039829283,0.24311096663863896,0.04147546504259698,0.04147546504259698,2012
MFI_14,0.01649302109635987,0.246026351018938,0.06703762027137619,0.06703762027137619,2012
Mom_12M_Refined,0.016556479915471312,0.30156332189301066,0.05490216718512359,0.05490216718512359,2012
RSI_14,0.017841722140990238,0.2671509554306342,0.06678517062471387,0.06678517062471387,2012
Volume_Shock,-0.009351725614475954,0.21177179870967483,-0.04415944744038631,0.04415944744038631,2012
ZScore_MA20,0.015391788913236074,0.25008618573946173,0.061545938124191894,0.061545938124191894,2012
