factor,mean,std,ICIR,abs_ICIR,year
Bollinger_Band_Width,-0.013648649020262657,0.22708110738193502,-0.06010473164245476,0.06010473164245476,2015
Chaikin_Oscillator,-0.03652828208699712,0.2119225753295145,-0.17236616736183,0.17236616736183,2015
Dist_MA20,-0.014079815993997538,0.2566586201857934,-0.05485814574942099,0.05485814574942099,2015
Dollar_Volume,-0.011808380527065688,0.20681673794010538,-0.05709586489312786,0.05709586489312786,2015
Historical_Volatility_20D,-0.021348223434034752,0.24304874584773256,-0.08783515158481495,0.08783515158481495,2015
MACD,0.02769617870790781,0.23942844391981988,0.11567622565839648,0.11567622565839648,2015
MFI_14,-0.0036324030928050737,0.2306956343990354,-0.01574543489852993,0.01574543489852993,2015
Mom_12M_Refined,0.033383380110776566,0.2896990681486091,0.115234682403782,0.115234682403782,2015
RSI_14,0.0011504624490301398,0.2463628431035355,0.004669788814487138,0.004669788814487138,2015
Volume_Shock,-0.0003750851345137783,0.21808332116514986,-0.0017199166470403039,0.0017199166470403039,2015
ZScore_MA20,-0.005084559702808773,0.2419370086827025,-0.02101604765014315,0.02101604765014315,2015
