factor,mean,std,ICIR,abs_ICIR,year
Bollinger_Band_Width,-0.02313486231398025,0.3603127978444045,-0.0642077174399192,0.0642077174399192,2011
Chaikin_Oscillator,-0.0012896756232005225,0.24436172093322714,-0.005277731791522829,0.005277731791522829,2011
Dist_MA20,0.003304481577826135,0.29443641581340485,0.011223073642902603,0.011223073642902603,2011
Dollar_Volume,-0.02871359045495917,0.19155445515195077,-0.14989779502743533,0.14989779502743533,2011
Historical_Volatility_20D,-0.042172034932944684,0.41364209982896405,-0.10195295631267297,0.10195295631267297,2011
MACD,0.02300774675600695,0.29349479664225436,0.07839234977665199,0.07839234977665199,2011
MFI_14,0.024287122320106876,0.23099564276837534,0.1051410408830098,0.1051410408830098,2011
Mom_12M_Refined,0.03982345763728987,0.29405064375792656,0.1354306085793644,0.1354306085793644,2011
RSI_14,0.024105032324460825,0.29704811999694253,0.08114857729013378,0.08114857729013378,2011
Volume_Shock,-0.00012617114536705635,0.20649793929712165,-0.000611004379978406,0.000611004379978406,2011
ZScore_MA20,0.014422293453201774,0.27149443317125854,0.053121875409151385,0.053121875409151385,2011
