factor,mean,std,ICIR,abs_ICIR,year
Bollinger_Band_Width,-0.0006208541499264502,0.21091369461880935,-0.0029436407676065725,0.0029436407676065725,2014
Chaikin_Oscillator,-0.02818391801440408,0.21132425085647638,-0.1333681198451074,0.1333681198451074,2014
Dist_MA20,-0.025355887595444764,0.23437186426863366,-0.10818656784835833,0.10818656784835833,2014
Dollar_Volume,-0.014559460655924762,0.18863604824611244,-0.07718281204093669,0.07718281204093669,2014
Historical_Volatility_20D,0.008136681515430804,0.23486967028834907,0.03464338969540603,0.03464338969540603,2014
MACD,-0.016605846790643,0.23765262474876603,-0.06987445145282041,0.06987445145282041,2014
MFI_14,0.010139317046081269,0.21719020216236717,0.04668404442342806,0.04668404442342806,2014
Mom_12M_Refined,0.007266414190274229,0.25286253172621076,0.028736618828692287,0.028736618828692287,2014
RSI_14,-0.014341408239712465,0.24256164713549205,-0.05912479738275163,0.05912479738275163,2014
Volume_Shock,0.007712584349604284,0.19978563268865132,0.03860429924720203,0.03860429924720203,2014
ZScore_MA20,-0.013109085419058019,0.23712252228861613,-0.05528401643392676,0.05528401643392676,2014
