factor,mean,std,ICIR,abs_ICIR,year
Bollinger_Band_Width,-0.004531935323843504,0.36693736151886647,-0.012350705594776263,0.012350705594776263,2009
Chaikin_Oscillator,-0.03266796920214082,0.22236820810606964,-0.14690935129790766,0.14690935129790766,2009
Dist_MA20,-0.027796442192615362,0.30683074536599975,-0.09059210203807534,0.09059210203807534,2009
Dollar_Volume,-0.018551216366823463,0.21309854764502983,-0.08705463538740424,0.08705463538740424,2009
Historical_Volatility_20D,0.001506835925778354,0.40466963034356407,0.0037236199921873354,0.0037236199921873354,2009
MACD,-0.015693961223138615,0.2809639853307738,-0.05585755485587378,0.05585755485587378,2009
MFI_14,-0.014085334779908563,0.23763171391905955,-0.05927380040151632,0.05927380040151632,2009
Mom_12M_Refined,0.00013459111832824937,0.34765819211035665,0.0003871363350055226,0.0003871363350055226,2009
RSI_14,-0.030420849320714146,0.2384227907012231,-0.12759203611048953,0.12759203611048953,2009
Volume_Shock,0.026431473212618635,0.23320899790393523,0.11333813639346127,0.11333813639346127,2009
ZScore_MA20,-0.018639321489326576,0.24679132408399965,-0.0755266481044624,0.0755266481044624,2009
