factor,mean,std,ICIR,abs_ICIR,year
Bollinger_Band_Width,0.0029779651025834694,0.20183782120790472,0.014754247171128505,0.014754247171128505,2013
Chaikin_Oscillator,-0.03481024189017839,0.2201499209475744,-0.15812061953212309,0.15812061953212309,2013
Dist_MA20,-0.020187039664702013,0.22771809411659863,-0.08864925619114672,0.08864925619114672,2013
Dollar_Volume,-0.003245189230810013,0.19832540147032823,-0.016362953039555705,0.016362953039555705,2013
Historical_Volatility_20D,0.004641756462973483,0.2266007109828263,0.020484297877270446,0.020484297877270446,2013
MACD,-0.002353452797640116,0.22453532636801773,-0.010481436643883651,0.010481436643883651,2013
MFI_14,-7.682859290268386e-05,0.22762029701374872,-0.0003375296224046455,0.0003375296224046455,2013
Mom_12M_Refined,0.029372859685619212,0.2508500435664705,0.11709330111332415,0.11709330111332415,2013
RSI_14,-0.014333197484296968,0.23373914181483652,-0.06132134041824899,0.06132134041824899,2013
Volume_Shock,0.017689291158436656,0.20810637767887655,0.08500119677126154,0.08500119677126154,2013
ZScore_MA20,-0.018846056490050004,0.2296027267287574,-0.08208115277443508,0.08208115277443508,2013
