factor,mean,std,ICIR,abs_ICIR,year
Bollinger_Band_Width,0.008621655659773467,0.2319837390928951,0.037164913771482185,0.037164913771482185,2016
Chaikin_Oscillator,-0.030200792981476824,0.21579077442479422,-0.1399540506862687,0.1399540506862687,2016
Dist_MA20,-0.02636060663867357,0.25309993508256534,-0.10415098142982261,0.10415098142982261,2016
Dollar_Volume,-0.008532267262882729,0.18743066922710017,-0.04552225789977102,0.04552225789977102,2016
Historical_Volatility_20D,0.0004495229757449259,0.2695944053682463,0.0016674046893922381,0.0016674046893922381,2016
MACD,-0.029479200574548656,0.2415434750575444,-0.12204511244828967,0.12204511244828967,2016
MFI_14,-0.029584842321963206,0.23550643083460626,-0.12562222703268913,0.12562222703268913,2016
Mom_12M_Refined,-0.015711045523285568,0.2475547894700831,-0.06346492248005664,0.06346492248005664,2016
RSI_14,-0.03325950792623876,0.251894136702255,-0.13203764232730952,0.13203764232730952,2016
Volume_Shock,-0.0008469150066648454,0.20024468078512542,-0.004229400767821824,0.004229400767821824,2016
ZScore_MA20,-0.043624601558190604,0.23828132878538802,-0.1830802345301751,0.1830802345301751,2016
