date,symbol,pull_symbol,in_dow,RSI_14,Dist_MA20,Bollinger_Band_Width,ZScore_MA20,Mom_12M_Refined,MACD,Dollar_Volume,Volume_Shock,MFI_14,Historical_Volatility_20D,Chaikin_Oscillator
2009-01-02,AA,AA,1,63.37129040401136,0.2264533113573104,0.3659753685247709,2.4750661474309896,-0.7223164810912247,0.28428952964100773,318068298.1036835,0.24979044419656304,64.82871363474695,1.0067663765540238,6468300.892503977
2009-01-02,AXP,AXP,1,46.77525080578694,-0.02314567537100598,0.37410784776487843,-0.247475967256936,-0.5826565562221404,-0.8090808644609648,161864121.2817192,-0.20526356832356152,50.77746956113371,0.758897356333668,2736155.280700125
2009-01-02,BA,BA,1,61.75987003951823,0.10555944546678075,0.14646396926817007,2.8828781848320735,-0.521091364896106,-0.0020096388690262756,237933853.26690674,-0.023800621491230856,62.9951472019532,0.574231393199041,4063409.7782728523
2009-01-02,BAC,BAC,1,47.50184803739898,-0.012575459654645016,0.3722447598042505,-0.1351310859151705,-0.6229429395181701,-0.6454222774709013,952243945.9958076,-0.12094605258675883,45.66237082611162,0.9680233242460692,43219607.26802158
2009-01-02,C,C,1,45.566738214219654,-0.03252023575100693,0.35396501235594474,-0.36749661255564736,-0.7366065293511936,-4.385084252254934,550543679.2675781,-0.26138175857854873,35.47086397678878,0.8483172960654609,-5561466.296580732
2009-01-02,CAT,CAT,1,64.45950515071522,0.10485606089749466,0.19242867812800662,2.1796348011649864,-0.44574525636606555,0.8059452241398439,214063519.7364807,-0.30165744988990895,48.939691295626304,0.5794405935952472,4834427.174909499
2009-01-02,CVX,CVX,1,55.5116506415096,0.02805923884694317,0.19350326338639637,0.5800261629885405,-0.17724206828349764,-0.11188568440194047,526871676.50756836,-0.19298951662394226,34.013368226526765,0.4482687097540646,-1147564.6629014313
2009-01-02,DD,DD,1,31.692769886917787,-0.16435105244512183,0.36546656415482515,-1.7988080833079614,-0.5002212089813269,-0.4555237755133712,184665915.4442129,0.07419483825991069,18.35187532661054,0.8936656095420119,-31488897.895563483
2009-01-02,DIS,DIS,1,57.800357681535566,0.05301060580200989,0.14490298872797697,1.463340577509427,-0.32452025456625166,0.05250333548274355,197142859.8197937,-0.3402252094501764,54.73521607115456,0.5596191559281218,2351416.936255306
2009-01-02,GE,GE,1,53.0535227753857,0.023030491138944287,0.19309939409875918,0.47707018960744285,-0.5051872287269544,-0.823628167854217,670683651.2063217,-0.3229190552964276,33.9476493889635,0.6172176758159297,13859531.216065735
2009-01-02,HD,HD,1,56.43598697350299,0.015614753505595491,0.09097988991264021,0.6865145042751337,-0.12242520429130266,0.24310557321737214,234721608.97493362,-0.19658243608712866,50.388128872048725,0.4471128458975557,-3306826.233532071
2009-01-02,HPQ,HPQ,1,57.854085760530104,0.04548546917302687,0.10705667318788423,1.699491225295221,-0.30620140262806084,0.0931532786043725,334437606.0710468,-0.027600428411864053,61.93331548525891,0.3801061215018337,21093760.472479522
2009-01-02,IBM,IBM,1,59.33383599219132,0.05613723831577189,0.11408237889989503,1.9683053196157902,-0.2255679499186093,0.13827313362360627,370530743.49004364,-0.0952397385632463,49.965139146809314,0.41301144887685054,4616489.025273055
2009-01-02,INTC,INTC,1,57.76836641937193,0.05915951119524343,0.17793249313192774,1.3299315971789325,-0.4470204860433482,0.09224457586889123,496862761.1167908,-0.11584004061755138,52.54311694549379,0.5778290203020159,13631715.608087301
2009-01-02,JNJ,JNJ,1,58.35489987429495,0.03600828327289873,0.0653709843611477,2.203319018356383,-0.11320769096768579,0.1095622349951384,424531212.88108826,-0.1477148324083506,55.19837344328086,0.2350500797455071,6142442.162121236
2009-01-02,JPM,JPM,1,51.195370223596576,0.014979440731957228,0.24524495196534857,0.24431802753801524,-0.30016524447782655,-0.32510596534544334,668517886.108017,-0.32967553782641545,35.8098402950819,0.89443016870881,14260952.24295482
2009-01-02,KO,KO,1,55.09604797878441,0.020022427243032492,0.061248490414275686,1.3076193132339304,-0.26775217682736185,0.014480631462683746,220234920.60146332,-0.33221244690215623,36.34156718694072,0.27719785142351605,-328736.6738038659
2009-01-02,MCD,MCD,1,62.1380857596506,0.03862876262891057,0.06642855928048971,2.326033443886894,0.012964624951297132,0.7164507556358188,342242103.6628723,-0.15800198318670278,61.63098718762448,0.3174712501593803,3261942.8939263225
2009-01-02,MMM,MMM,1,53.478684415278735,0.03896790237937098,0.10057863302100364,1.5497487372385925,-0.243293847201153,-0.43333887571482066,187503724.38232422,-0.11730927148845682,54.85724050537032,0.38636658961151854,3010230.194359388
2009-01-02,MRK,MRK,1,64.3687955908658,0.10860780739155351,0.22215767883568455,1.955508501182776,-0.5205354445287114,0.4645352749374041,208000873.34261894,-0.17671100598084544,75.8236529793761,0.473942316379939,7744205.071268469
2009-01-02,MSFT,MSFT,1,54.382360941606294,0.03706004146178454,0.1240192563197126,1.1952995869043561,-0.4485902032180118,-0.1771929772019245,741813700.6721497,-0.26169877386628293,33.73768695469147,0.47035864262268173,-2695597.2763137817
2009-01-02,PFE,PFE,1,64.87342112736638,0.0707065169128287,0.1149150383849836,2.461175418171142,-0.26340606462305116,0.15665963484887957,255194823.62030792,-0.33105452913571665,73.76806807639575,0.29047764819116606,17982250.377925873
2009-01-02,PG,PG,1,56.14348182128562,0.03620100547245042,0.08021566195742813,1.8051839049417957,-0.13024774051835342,-0.11463408688892684,423074105.1521301,-0.23305738450095048,40.69883436150954,0.2813967832971183,4650135.82118902
2009-01-02,T,T,1,59.61200326375464,0.04213498534385751,0.09008876713619746,1.870820821874824,-0.27801088829672027,0.060469680034825224,185125069.27726507,-0.31513693083364347,59.144961529360074,0.40290810319359444,23483735.160176873
2009-01-02,TRV,TRV,1,59.456903431104834,0.06648818865040496,0.18057400985251293,1.4728185679591514,-0.2285481965068874,0.7557214969358874,98882697.27210999,-0.23544948259905685,72.42418179040361,0.6727208490717677,1344487.5753324926
2009-01-02,UTX,RTX,1,65.26568873580052,0.08990976490360447,0.1684922389636934,2.1344547489330505,-0.3833775088547996,0.46392679223389166,171231787.49851036,-0.3371940121948013,71.16147373958216,0.31016832793803295,8719679.194410406
2009-01-02,VZ,VZ,1,61.88326521348134,0.04269785140936677,0.07625531916204249,2.2397310445260326,-0.2184412835121582,0.27388638614498007,196738246.33404255,-0.22882818387017967,54.88978418077266,0.321845936939086,2273875.101856619
2009-01-02,WMT,WMT,1,60.75178540890888,0.02850465023796711,0.06540647064622288,1.743231209777147,0.16749558771177275,0.10005280761719959,642863573.2933044,-0.2165392073210456,63.27146112145328,0.26531165665629514,11431569.215906084
2009-01-02,XOM,XOM,1,58.85810626340072,0.04103458866193299,0.12178385778762209,1.347784161460639,-0.15650044029046306,0.4066721790142793,1554719920.431137,-0.17170043778511068,51.51314734312833,0.3712279365942214,5308269.152989626
2009-01-05,AA,AA,1,61.15988429670762,0.17845773943740428,0.35827330406140784,1.992420171019126,-0.7256830789976972,0.5070972015243989,337420225.2381935,0.3608939758403389,62.19809730975987,0.8363499766477092,6420301.41981034
2009-01-05,AXP,AXP,1,49.72911355878775,0.010459142987914838,0.37171036801097546,0.11255153353813335,-0.5489790828733956,-0.6831810345441571,244265698.42529297,0.15872756390318288,60.27375782626767,0.7530754849374747,6599989.4694907665
2009-01-05,BA,BA,1,63.936874969111614,0.11849966623568786,0.1787839762836744,2.651236843455495,-0.5173614693341937,0.2707042936022006,239557591.27578735,-0.03452655526516879,73.17115310374035,0.5584481913357442,5368202.718196541
2009-01-05,BAC,BAC,1,45.90191164656807,-0.03549605413514545,0.3740345379319523,-0.37960188737012535,-0.5915450799192292,-0.5933023629956224,1004735999.2804527,-0.042500961047206354,46.80189153796116,0.956749474558745,30044893.386265993
2009-01-05,C,C,1,45.11454111642424,-0.03856611668224741,0.35657839922200063,-0.4326242617768515,-0.7077475823712895,-4.023188237546897,668320283.4707642,-0.05181098946749252,44.227537769081266,0.8272602154744644,-6564313.162943244
2009-01-05,CAT,CAT,1,61.45627525866924,0.07447648735118828,0.1716336452697456,1.7357083393326138,-0.4060670849767102,0.8888843478905919,327908615.5632019,0.09050963715673777,58.81198374580156,0.5387776772535847,3308784.3600440957
2009-01-05,CVX,CVX,1,55.74910693443376,0.026561354941832427,0.19154408923166472,0.5546786653323991,-0.17496800145206948,0.026393254945602962,653421206.7432404,0.012325901529520067,42.4081869634633,0.4201256026284253,-628488.4480961859
2009-01-05,DD,DD,1,30.43238481434723,-0.17746754936450015,0.4035793989902299,-1.7589356623111128,-0.47241686760540635,-0.48994234659332925,263830966.09912205,0.5069587018056376,26.43541453733917,0.8924171974940804,-37970757.44083089
2009-01-05,DIS,DIS,1,55.1817336970756,0.029915343937792382,0.13767163076435399,0.8691796202805814,-0.2952134654548546,0.10965325254226954,230819760.85853577,-0.19881116260940335,62.861221016171136,0.5639958970691855,1936235.7790826708
2009-01-05,GE,GE,1,50.14154790226567,-0.0015777507653942369,0.19108465411874742,-0.033027262658439416,-0.47983339569101957,-0.6835381827818807,829749065.924675,-0.11949985225888671,33.952861637656866,0.6134356752820128,11030401.793331712
2009-01-05,HD,HD,1,59.58775856893559,0.03677563435976272,0.0947161703343279,1.5530878932267858,-0.05437956631956686,0.2844174396403538,364047675.4781723,0.24198478533008672,60.311479035595866,0.44920271750643653,3134394.9474154115
2009-01-05,HPQ,HPQ,1,55.110877379647775,0.027453911184929902,0.09742524131052348,1.1271785757215032,-0.2532551694867514,0.10223563287551052,328825681.9459238,-0.017918866428930036,53.499609691317815,0.34739376338244565,19387292.585579455
2009-01-05,IBM,IBM,1,57.95709960985482,0.0435723208847103,0.10475129314946827,1.6638389684617096,-0.18834726652029077,0.28058563353230426,405099853.9981766,0.011162569721195892,58.97596013664867,0.380147956808239,4708788.31872043
2009-01-05,INTC,INTC,1,54.80952980089298,0.03126300143610483,0.14649186940377007,0.8536446852196484,-0.3810159844644412,0.1054015059557134,535107528.85894775,-0.011632548513208829,51.85355314563442,0.5198587279010677,7292517.906993151
2009-01-05,JNJ,JNJ,1,55.207890133400454,0.022379920633487593,0.05705890927793262,1.5688992949006881,-0.1043388610981466,0.14904671951447312,561217107.6965332,0.14429366374996966,54.728025179197,0.22445236756646475,7028080.861201525
2009-01-05,JPM,JPM,1,45.51224028350104,-0.05077291239675985,0.25036716105430223,-0.8111752704780272,-0.2407512055747184,-0.3608472311545512,845908589.2112732,-0.05519407536232257,36.900911668312375,0.9241218282341425,5334031.072222218
2009-01-05,KO,KO,1,52.586423011166644,0.009026585973110679,0.06156911540960765,0.5864359695966702,-0.2324069467098745,0.024615173939793067,269768069.65904236,-0.15330553582172102,37.46163281086372,0.2561971714690756,193305.13035485148
2009-01-05,MCD,MCD,1,61.31481894229558,0.033243823052769406,0.07283439659380019,1.825721066279788,0.07366383002875065,0.7633658253210456,303372045.8278656,-0.21590830910513215,69.41728567246781,0.31084732316450825,4996014.170368612
2009-01-05,MMM,MMM,1,51.22577258533698,0.027433233439144056,0.09750387172445202,1.1254212967735635,-0.23648053781686018,-0.3479544619862871,131433817.0846653,-0.34387411983313343,55.46974983859976,0.37728723516541557,3274582.7011514604
2009-01-05,MRK,MRK,1,61.4741634671931,0.08110991077290963,0.2108677512397103,1.5385929862875123,-0.5136306463212086,0.4922599566242276,251180217.73555756,0.029163593836508017,82.65317773500912,0.4184930444002348,5387984.406810522
2009-01-05,MSFT,MSFT,1,55.72062713911903,0.043000889041806545,0.12787519508624984,1.3450892962565,-0.41138308085604314,-0.10520323126260323,919042561.4379883,-0.0821118629880786,41.95710008442268,0.4463175205878629,14545747.717232704
2009-01-05,PFE,PFE,1,63.208272425305296,0.05839862964888187,0.11911178196607648,1.9611369651245405,-0.22410258013578566,0.17375659745880867,372344349.8126602,-0.010615325138848886,73.85726427708904,0.27710007123748415,19037381.780000687
